Team Name,Team,Team Description
Alaap,Cultural Activity Teams,"Alaap is the heartbeat of musical expression at RVCE, uniting students through the language of music and fostering creativity, collaboration, and community. The club envisions evolving into a dynamic hub of musical innovation that nurtures talent, fuels passion, and celebrates the transformative power of music."
TEDxRVCE,Cultural Activity Teams,"TEDxRVCE is an independently organised TEDx event at RVCE, dedicated to spreading ideas that inspire, innovate and ignite change. As a platform for thought-provoking discussions, TEDxRVCE brings together visionary speakers, industry leaders, and changemakers to share their insights across diverse fields. The club is driven by a passionate team that meticulously curates, organises, and executes high-impact speaker sessions, fostering a culture of intellectual curiosity and meaningful dialogue within the college community. Through its events, TEDxRVCE aims to empower minds, challenge perspectives, and spark conversations that extend beyond the stage, leaving a lasting impact on attendees."
CARV Kannada,Cultural Activity Teams,"Kannada CARV (Circle of Acting at RV) is the official Kannada theatre club of our college, dedicated to fostering creativity, storytelling, and the rich tradition of performing arts. Specializing in Center Stage Play, Mad Ads, Mime, and Street Play, we push the boundaries of expression through impactful narratives. Kannada CARV not only serves as a creative hub for theatre enthusiasts but also represents our college at prestigious competitions nationwide, showcasing innovation and the essence of Kannada theatre.Rangataranaga is a renowned state-level theatre fest organized by Kannada CARV, where teams from colleges across Karnataka come together to celebrate and explore diverse theatrical arts, promoting creativity and collaboration. We also conduct interactive theatre activities for both students as well as faculties as a part of Rangararanga. "
CARV English,Cultural Activity Teams,"The Circle of Acting at RVCE (R.V. College of Engineering) is one of the prominent student organizations at the institution, dedicated to fostering a culture of theatrics. A premier theatrical troupe based in Bangalore, CARV started as a college club and has grown leaps and bounds to become one of the most successful performing arts groups in the region. Established in 2001, we have performed English stageplays in every major competition across IITs, NITs and BITS, among others. It serves as a platform for students to sharpen their communication skills, confidence & self-expression, creativity & imagination. The society hosts group discussions, and workshops. These activities help participants gain confidence in articulating their thoughts clearly and persuasively. And last but not the least, CARV English develops a sense of belonging and friendship, something every CARV member carries with them always."
CARV Hindi,Cultural Activity Teams,"CARV Hindi, the Hindi Drama Club of RVCE, is a vibrant student organisation dedicated to the art of dramatics and storytelling. The club provides a platform for students to explore and express social, cultural and contemporary themes through theatre, particularly street plays. Since its inception, CARV Hindi has made a significant impact in the dramatics circuit, representing RVCE at prestigious competitions across the country.Our performances emphasise social awareness, creative storytelling and impactful narratives, using theatre as a medium to engage audiences on critical issues. CARV Hindi is not just about acting—it fosters teamwork, leadership and confidence, equipping students with invaluable skills in public speaking, scriptwriting and stagecraft.In addition to participating in external competitions, CARV Hindi actively contributes to the college’s cultural ecosystem through intra-college productions, workshops and awareness-driven street plays. Through its initiatives, the club continues to inspire change, entertain audiences and elevate the standard of Hindi theatre at RVCE."
CubeX,Cultural Activity Teams,"CubeX is a prominent student club at RVCE dedicated to the art and sport of Speedcubing. The club’s mission is to foster a vibrant community for Rubik’s Cube enthusiasts by organising and participating in various events. CubeX hosts Speedcubing competitions both within the college campus and at external venues, providing a platform for cubers to showcase their skills.  In addition to competitions, the club conducts workshops and training sessions to help the newcomers learn and the existing cubers to improve their solving techniques, algorithm and speed."
SATTVA,Cultural Activity Teams,"Sattva is more than just an art club—it’s a space where creativity finds a home. Whether you
paint, sketch, doodle, or simply appreciate art, this is a place to explore, experiment, and
express yourself. We believe that art isn’t just about talent; it’s about passion, perspective,
and the stories we tell through colors and forms. We want to build a community where art
brings people together, sparks conversations, and inspires new ideas. Sattva is all about
creating, learning, and sharing. Our goal is to make art an everyday experience, not just
something confined to galleries, but something that lives and breathes in our campus culture."
Studio Zero,Cultural Activity Teams,"Studio Zero, the Filmmaking Club of RV College of Engineering, is a community of film enthusiasts who create short films, skits, and compete in events, while also covering major college fests like E-Summit and 8th Mile with a cinematic touch."
DebSoc,Cultural Activity Teams,"The Debate Society (DebSoc) at RVCE (R.V. College of Engineering) is one of the prominent student organizations at the institution, dedicated to fostering a culture of public speaking and debate. It serves as a platform for students to sharpen their oratory, communication, and critical thinking skills. The society hosts intra-college debates, group discussions, and workshops on various topics, ranging from current affairs to global issues, economics and International Relations, to Artificial Intelligence and Philosophy, providing students with opportunities to engage in intellectual exchanges. These activities help participants gain confidence in articulating their thoughts clearly and persuasively.DebSoc also plays an active role in representing RVCE at inter-college and national debating competitions. Members of the society often compete in prestigious events, such as parliamentary debates, and other public speaking contests, where they can showcase their talents and gain exposure. In addition to competitive events, the society emphasizes leadership and teamwork, helping members develop both individual speaking abilities and the collaborative skills necessary for team debates. Through its various initiatives, the Debate Society at RVCE continues to nurture a thriving community of eloquent speakers and confident debaters, empowering students to take on leadership roles in their academic and professional careers."
Rotaract Club,Cultural Activity Teams,"The Rotaract Club of RVCE is an institution-based Rotaract Club established in the year 1991 at RV College of Engineering.
Affiliated with the Rotary International District 3191 and Rotary Bangalore South, the club is dedicated to fostering community service, leadership development, and professional growth among young adults.
The Rotaract Club of RVCE is one of the most active clubs in the college, conducting impactful events for the community and the society. Around the year, we conduct various events, such as Fistfull, Fast Trek, Uptown Junk, Naivedyam, Blood Donation Camp, Project Pushtak, Awaaz, Hello Grandparents, and much more.
The Rotaract Club of RVCE provides an opportunity to develop your leadership, teamwork, and professional skills whilst making a difference in the society. The members of the clubs actively participate in planning, collaborating, and executing the events and also open up the boundaries to other Rotary and Rotaract Clubs all over the world.
Every project at the Rotaract Club of RVCE is a chance to make a difference, learn, and grow together. Guided by our theme, “Unite for Good,” we bring together students, faculty, and the community to turn ideas into action. Through collaboration, creativity, and shared passion, the Rotaract Club of RVCE leaves a meaningful and lasting impact on campus and beyond."
RAAG,Cultural Activity Teams,"RAAG is the youth and cultural club of RV College of Engineering. It brings together  students from all branches to celebrate creativity, culture, and campus spirit. The club organizes some of the most popular events at RVCE — from Ethnic Day and DJ Night to Treasure Hunts and Matrubhasha Diwas — creating moments that students look forward to every year.RAAG functions through four main pillars: Public Relations, Sponsorship, Management & Creative, and Technical. The PR team connects with students and promotes events, while the Sponsorship team builds partnerships to support them. The Management & Creative pillar takes charge of planning, organizing, and designing experiences, and the Technical team ensures flawless execution through lighting, sound, and production. More than just a club, RAAG is a space where ideas grow, friendships form, and memories are made. It stands as a symbol of teamwork, creativity, and the vibrant youth culture that defines RVCE. "
QuizCorp,Cultural Activity Teams,"RV QuizCorp is the official quizzing club of RV College of Engineering, dedicated to fostering curiosity, knowledge and intellectual engagement. As one of the most active and accomplished quizzing clubs in the country, we specialise in both hosting and participating in quizzes. Our members push the boundaries of learning through competitive quizzing and fundamentals-based answers.Our flagship event, Under the Peepal Tree (UTPT), is one of Asia’s largest and most anticipated quizzing festivals. This annual fest brings together some of the finest minds from across the country to compete in diverse quizzes, including:

India Quiz
Sports Quiz
Literature & Entertainment (Lit-Ent) Quiz
General Quiz (curated by the legendary Major Chandrakant Nair)
Science-Business-Tech (Sci-Biz-Tech) Quiz"
