Team Name,Team,Team Description
Ashwa Racing,Innovative Teams,"Ashwa Racing, one of India’s pioneering Formula Student (FS) teams, was established on 23rd November 2003, marking the beginning of an era in Indian motorsports innovation. The team developed its first prototype in 2005 and made its international debut at FSAE Australasia, laying the foundation for a legacy of excellence. Initially focused on Formula Student-style combustion cars, Ashwa Racing expanded its global footprint, competing in prestigious events such as FS Germany (2008) and FS Italy (2010). Over the years, the team has consistently represented India on the international stage, participating in FSAE Australasia, FS Italy, and FS Germany.With a vision for future mobility, Ashwa Racing diversified into hybrid technology in 2015, achieving a remarkable top-10 worldwide ranking in its very first competition. Since then, the team has maintained a strong presence in both combustion and hybrid categories, continuously pushing the boundaries of engineering excellence.Today, Ashwa Racing stands as India’s most consistent Formula Student team, building multiple prototypes annually and competing across different categories. With a strong industry-institute collaboration and a focus on skill development, Ashwa Racing continues to shape the future of mobility, proudly representing RV College of Engineering on the global stage."
dhRuVa,Innovative Teams,"dhRuVa is the astrophysics club at RVCE that comprises an interdisciplinary team working towards understanding our universe better. What began as a quest to explore the secrets of the universe is now a growing team of amateur astrophysics enthusiasts. Like Dhruva, the pole star, we at dhRuVa also constantly try to keep up with the happenings of the universe and events affecting earth through our telescopes, radio telescopes and analysis.We host stargazing events, astrophysics-related coding competitions and engage in impactful discussions on latest observations made by the astrophysics community across the globe. We also believe in sharing our understanding with fellow astrophysics enthusiasts through our informative videos, blogs and journals.We have also delved into astrophotography for capturing the marvelous pictures of the universe! We collaborate with ABAA and other student astrophysics clubs to organise interactive sessions and better outreach."
Ham Club,Innovative Teams,"RVCE Ham Club is the amateur radio club in RVCE. It was inaugurated on 27th August 2019. We aim to popularise Amateur Radio as a hobby among students while exploring technical innovations in the communication domain. RVCE HAM club shall have international collaborations with HAM units across the globe through its activities, and aims to have talks with esteemed professionals across the globe through radio communication."
Team Antariksh,Innovative Teams,"Team Antariksh is a student space technology club of RV College of Engineering whose goal is to understand, disseminate and apply engineering skills for innovation in the field of aerospace technology. We are more than a club, a canister of creative and passionate students eager to achieve new heights. Each project we undertake serves as a testament to our commitment to pushing the boundaries of scientific exploration and inspiring young minds to embrace the challenges in aerospace technology. The team is involved in the designing of Cansats and experimental sounding rockets."
ASTRA Robotics,Innovative Teams,"Team ASTRA Robotics is a student-led robotics research club dedicated to advancing innovation in robotics. We design intelligent, autonomous systems to participate in prestigious global competitions, and lead outreach programs to inspire the next generation of innovators. We were founded as a project under the RVCE Chapter of the International Institute of Electrical and Electronic Engineers. To this day we still hold multiple ventures with IEEE Robotics and Automation chapter of RVCE.We provide hands-on experience in solving real-world technical, organizational, and engineering challenges, fostering a competitive yet collaborative environment where students can experiment, innovate, and grow. Whether it’s developing advanced robotic systems, competing in global challenges, or engaging in STEM outreach, we cultivate creativity, leadership, and technical excellence. Our work spans autonomous mobility, AI-driven systems, and industrial automation."
Team Chimera,Innovative Teams,"Team Chimera, the electric formula student racing team from RV College of Engineering, Bangalore, has been at the forefront of innovation since its founding in 2006. Over the past 15+ years, the team has evolved from developing hybrid powertrains to mastering the art of designing and building high-performance electric race cars. With a steadfast focus on clean technology and sustainability, Team Chimera pushes the boundaries of mobility through cutting-edge simulation, rigorous testing, and precision manufacturing. Competing on global stages with their custom-built vehicles, this award-winning team embodies RVCE’s legacy of engineering excellence."
Team Vyoma,Innovative Teams,"We are the aero-design team of RV College of Engineering. Started in 2007, we are one of the leading student projects in India, having won many national and international competitions and awards such as the NASA Systems Engineering Award. We conduct cutting-edge research for the development of Unmanned Aerial Vehicles. Ignite inquisitiveness and interest in young minds in Aerospace Engineering and help them along that path. Represent our country in numerous International competitions, such as SAE Aero Design, AIAA Design Build Fly & IMAV. We also develop technologies in the field of Autonomous Robotics to accelerate the growth of the Aerospace domain by envisioning a Societal Drone Era. This enables us to carry out R&D in Unmanned Aerial Vehicles and perform custom, advanced missions for societal use."
Accelerate Club,Innovative Teams,"Technical innovation club under department of Computerscience and Engineering. Since its inception in 2023 they have been consistently engaged in organizing and participating in various technical events such as hackathons, bootcamps, workshops and student led innovation drives. Their aim is to foster a culture of creativity, collaboration and problem solving among students by providing platforms for practical learning and innovation."
Anoraniya,Innovative Teams,"Anoraniya is the official Quantum Technology Club at RV College of Engineering. It serves as a dynamic platform for students to explore the frontiers of quantum mechanics, quantum computing, and advanced quantum technologies beyond the conventional academic curriculum. By promoting critical thinking, innovation, and a research-centric approach, the club empowers students with the skills and tools necessary to address contemporary challenges in physics and computational sciences.With a vision to inspire and nurture the next generation of quantum scientists and engineers, Anoraniya fosters an intellectually stimulating environment that emphasizes academic curiosity, collaborative learning, and interdisciplinary engagement. The club regularly organizes seminars, technical workshops, research discussions, and expert lectures delivered by distinguished professionals in the field.Through these initiatives, Anoraniya cultivates a culture rooted in scientific inquiry and technical excellence, contributing to the global momentum in quantum research and innovation."
Chitrak,Innovative Teams,"Team Chitrak from RV College of Engineering was founded by group passionate of engineers in 2023. We design and fabricate electric motorcycles that prioritize performance, style, and environmental sustainability. Our operations are driven by a commitment to innovation. Our team comprises of individuals with rich industrial experience and enthusiastic graduates with exposure to various domains like mechanical design, manufacturing, management, electrical system design, battery management and EV architecture.We are always researching the newest breakthroughs in electric vehicle technology to ensure that our bikes are not only efficient but sustainable as well."
